guint	unsigned
GdkEventKey	BalEventKey
gdkEventKey()	balEventKey()
m_gdkEventKey	m_balEventKey
GdkEventButton	BalEventButton
GdkEventMotion	BalEventMotion
GdkEventScroll	BalEventScroll
cairo_font_face_t	BalFontFace
gint	int
gboolean	bool
gchar	char
setFont(cairo_t*	setFont(BalFont*
FcPattern	BalPattern
cairo_scaled_font_t	BalScaledFont
GdkEventExpose	BalEventExpose
GdkDrawable	BalDrawable
gdkDrawable()	balDrawable()
gdkExposeEvent()	balExposeEvent()
setGdkExposeEvent(	setBalExposeEvent(
cairo_surface_t	BalSurface
GdkPoint	BalPoint
GdkRectangle	BalRectangle
ClipboardGtk	ClipboardBal
GtkMenuItem	BalMenuItem
GtkMenu	BalMenu
GtkClipboard	BalClipboard
GtkTargetList	BalTargetList
GtkAdjustment	BalAdjustment
gtkValueChanged(	balValueChanged(
GtkWidget	BalWidget
RenderThemeGtk	RenderThemeBal
gtkEntry()	balEntry()
gtkTreeView()	balTreeView()
GtkContainer	BalContainer
gtkContainer()	balContainer()
m_gtkWindow	m_balWindow
m_gtkContainer	m_balContainer
m_gtkEntry	m_balEntry
m_gtkTreeView	m_balTreeView
setGtkWidget(	setBalWidget(
gtkWidget()	balWidget()
GdkPixbuf	BalPixbuf
GdkColor	BalColor
cairo_matrix_t	BalMatrix
setGtkAdjustments	setBalAdjustments
PasteboardHelperGtk	PasteboardHelperBal
